timestamp_s,rss_mb
0,606.4
3.7,575.9
7.4,588.7
11.1,536.4
14.7,542.5
18.4,496.8
22.1,506.3
25.7,482.5
29.4,485.7
33.1,453.5
36.8,463.6
40.4,474.6
44.1,522.4
47.8,520.8
51.6,518.5
55.3,553.3
59,563.7
62.7,564.8
66.3,559.7
70,564
73.7,568.8
77.4,561.3
81,569.3
84.8,600.3
88.5,592.4
92.4,645
96,676.9
99.7,752.6
103.4,777.1
107.1,738.5
110.7,830
114.5,831.9
118.4,948
122,952.8
125.7,952.9
129.3,934.4
133,947.8
136.6,1032.8
140.3,1179.6
144,1166.7
147.9,1060
151.6,860.1
155.3,877.7
158.9,924.9
162.7,899.6
166.3,964.1
170,1012.8
173.7,1237.8
177.3,1074.7
181,1069.7
184.8,1153.2
188.4,1012
192.1,1035.8
195.8,1148.1
199.5,1160.3
203.3,1190.8
207,1103.5
210.6,1027.5
214.3,1021.2
218.1,1010.2
221.8,1046.4
225.4,1093
229.3,1041.2
233,1160.6
236.7,1174.3
240.3,1246.6
244,1324
247.6,1351.9
251.3,1383.1
255,1374.5
258.6,1363.3
262.4,1416.4
266,1195.9
269.7,1166
273.4,1211.1
277.1,1255
280.7,1317.4
284.4,1345.5
288.1,1343
291.8,1393.8
295.4,1403.5
299.1,1043.8
302.8,1055.6
306.4,1085.7
310.1,1122.5
313.8,1165.2
317.6,1277.5
321.5,1302.3
325.1,1030.2
328.8,1057
332.7,1053.2
336.6,1108.9
340.2,1134.4
343.9,1168.9
347.7,1213.2
351.3,1214.7
355,1221.4
358.7,1222.7
362.4,1230.3
366,1249.1
369.7,1252.4
373.3,2560.9
377,2297.4
380.7,2921.7
384.4,2288.6
388,2902.6
391.7,2285.7
395.4,2333.2
398.9,1946.2
402.6,1486.4
406.2,1488.8
409.9,1484.5
413.6,1500.5
417.3,1583.2
420.9,1897.6
424.6,2056.5
428.3,2099.1
432,2089.8
435.8,2131.5
439.6,2230.9
443.3,1768.7
446.9,1413.3
450.5,1399.6
454.2,1420.2
457.9,1458.6
461.6,1459.7
465.4,1502.5
469,1574.4
472.7,1600.6
476.4,1626.1
480.1,1599.9
483.7,1615.2
487.6,1618.9
491.4,1439.9
495,1519.6
498.9,1494.6
502.8,1452.3
506.6,1452.3
510.5,1452.3
514.4,1452.2
518.3,1451.6
522.1,1383.1
526,1383
529.9,1382.7
533.7,1381.1
537.6,1381.1
541.5,1380.9
545.4,1375.6
