timestamp_s,rss_mb
0,513
4,497.4
7.7,610.8
11.5,610.5
15.4,618.3
19.2,538.2
22.9,664.1
26.4,592.2
30,612.2
33.6,635.4
37.2,616.1
40.8,644.5
44.4,654.1
47.9,654.9
52,656.8
55.6,655.7
59.2,645.2
62.8,641.8
66.4,627.8
70,574.6
73.6,576.3
77.1,491.7
81,494.7
84.9,568.2
88.8,605.9
92.7,633.1
96.6,617.8
100.3,627.4
104.2,679.3
108.1,797.3
112,875
115.7,909
119.5,921.7
123.3,922.1
127.1,881
131,885.6
134.9,890.3
138.7,886.9
142.5,968.8
146.4,976.1
150.3,974.2
154.2,993.4
158,1002.7
161.7,1017
165.6,1310.6
169.4,1205.7
173.2,890.7
177.1,659.5
180.7,745.1
184.3,748.7
187.8,741.9
191.4,731.1
194.9,730.7
198.5,616.2
202.4,633.6
206,644.8
209.9,644.9
213.8,659.8
217.7,666.5
221.6,677.1
225.4,686
229.2,704.4
233,816.7
236.8,608.8
240.5,636.2
244.3,646.2
247.8,656.7
251.4,666.7
255,654.9
258.6,759.9
262.3,615.2
266,627.5
269.9,626.8
273.5,649.1
277.4,650
281.3,759.6
285.2,865.3
289,863.3
292.7,843
296.5,844.7
300.4,835.7
304.1,839.3
307.9,895.9
311.5,959.2
315.2,1009.6
319,1009.5
322.8,938.1
326.4,1060.7
330,1107.3
333.9,1143.2
337.7,1140.7
341.4,1277.8
345.2,1005.8
349.1,987.4
352.9,778.9
356.8,783.6
360.6,782.3
364.5,805.1
368.2,973.8
372,1007.3
375.8,1008.9
379.7,987.9
383.4,990.1
387.3,1099.3
391.2,758.6
395,785.8
398.9,821.6
402.7,810.9
406.6,902.8
410.4,752.5
414.3,750.9
418.2,751.3
422,747.8
425.9,756
429.8,772.2
433.5,772.9
437.3,773.2
441.2,774.2
445.1,774.4
448.9,774.4
452.8,774.6
456.7,774.9
460.5,796
464.3,812.6
468.1,829.1
471.7,755.5
475.6,763.4
479.5,812.8
483.1,826.5
486.9,823.7
490.8,816.5
494.6,817.4
498.4,820.5
502.3,819.9
506.1,820.7
509.9,822.9
513.7,858.3
517.5,830.7
521.3,838.7
525.1,847
528.8,881.1
532.4,1158
536.2,788.4
540.1,806.5
543.9,836.9
547.8,848.6
551.7,845.9
555.6,814.8
559.5,766.5
563.3,829.8
567.2,829.1
571,827.1
574.9,827
578.5,827.3
582.4,827.1
586.3,827.1
590.2,825.8
594,824.2
597.9,822.4
601.8,822.3
605.6,824.5
609.5,822.7
613.4,822.7
617.3,822.7
